Name,AdminNo,Class,GPA,ModuleCode,ModuleName,CreditUnit,StudentMark
Zjisec,p2340219,DIT/FT/1B/12,3.0,ST0525,DBS,6,60
,,,,ST0503,FOP,6,86
,,,,
Zlbkzi,p2340220,DIT/FT/1B/08,3.46,ST0525,DBS,7,73
,,,,ST0525,DBS,6,82
,,,,
Fxeesr,p2340221,DIT/FT/1B/10,2.4,ST0503,FOP,4,79
,,,,ST0506,SEP,6,62
,,,,
Tyuqca,p2340222,DIT/FT/1B/07,4.0,ST0503,FOP,5,86
,,,,ST0503,FOP,6,83
,,,,
Hyhzcc,p2340223,DIT/FT/1B/02,3.0,ST0525,DBS,7,74
,,,,ST0503,FOP,6,78
,,,,
Bemira,p2340224,DIT/FT/1B/04,2.54,ST0506,SEP,6,61
,,,,ST0503,FOP,7,71
,,,,
Mnoyuo,p2340225,DIT/FT/1B/07,3.44,ST0525,DBS,5,70
,,,,ST0503,FOP,4,86
,,,,
Mkashg,p2340226,DIT/FT/1B/07,2.4,ST0509,JPRG,4,75
,,,,ST0506,SEP,6,67
,,,,
Zsknll,p2340227,DIT/FT/1B/15,3.5,ST0503,FOP,6,75
,,,,ST0525,DBS,6,80
,,,,
Ndrjrb,p2340228,DIT/FT/1B/07,4.0,ST0506,SEP,4,89
,,,,ST0525,DBS,7,85
,,,,
Imrhhr,p2340229,DIT/FT/1B/14,3.0,ST0506,SEP,5,66
,,,,ST0506,SEP,5,88
,,,,
Qvoteo,p2340230,DIT/FT/1B/08,3.36,ST0503,FOP,7,73
,,,,ST0525,DBS,4,84
,,,,
Rwcuer,p2340231,DIT/FT/1B/11,3.11,ST0509,JPRG,4,66
,,,,ST0506,SEP,5,80
,,,,
Wkcdhy,p2340232,DIT/FT/1B/06,3.58,ST0503,FOP,5,71
,,,,ST0506,SEP,7,89
,,,,
Jwnkvz,p2340233,DIT/FT/1B/06,2.64,ST0503,FOP,7,78
,,,,ST0525,DBS,4,64
,,,,
Xtzfhx,p2340234,DIT/FT/1B/15,2.46,ST0503,FOP,6,79
,,,,ST0506,SEP,7,62
,,,,
Kursqm,p2340235,DIT/FT/1B/04,2.45,ST0503,FOP,5,74
,,,,ST0525,DBS,6,60
,,,,
Kqhgpd,p2340236,DIT/FT/1B/13,4.0,ST0509,JPRG,7,86
,,,,ST0509,JPRG,5,86
,,,,
Ufirmu,p2340237,DIT/FT/1B/11,3.27,ST0525,DBS,4,60
,,,,ST0525,DBS,7,82
,,,,
Gtvdep,p2340238,DIT/FT/1B/14,2.91,ST0525,DBS,6,63
,,,,ST0525,DBS,5,85
,,,,
Xginih,p2340239,DIT/FT/1B/04,2.45,ST0506,SEP,6,67
,,,,ST0509,JPRG,5,71
,,,,
Sfzuuu,p2340240,DIT/FT/1B/01,3.0,ST0525,DBS,4,61
,,,,ST0506,SEP,4,80
,,,,
Hajssi,p2340241,DIT/FT/1B/04,4.0,ST0506,SEP,5,89
,,,,ST0509,JPRG,4,81
,,,,
Ypboxa,p2340242,DIT/FT/1B/11,3.6,ST0503,FOP,4,70
,,,,ST0503,FOP,6,81
,,,,
Wtxzzk,p2340243,DIT/FT/1B/11,3.0,ST0506,SEP,4,85
,,,,ST0509,JPRG,4,62
,,,,
Cazzmi,p2340244,DIT/FT/1B/12,3.46,ST0509,JPRG,7,71
,,,,ST0509,JPRG,6,82
,,,,
Milipg,p2340245,DIT/FT/1B/03,4.0,ST0525,DBS,5,90
,,,,ST0509,JPRG,6,89
,,,,
Ghvnhg,p2340246,DIT/FT/1B/02,2.64,ST0525,DBS,4,69
,,,,ST0509,JPRG,7,71
,,,,
Qxlhto,p2340247,DIT/FT/1B/06,4.0,ST0509,JPRG,5,83
,,,,ST0525,DBS,4,89
,,,,
Laoiuy,p2340248,DIT/FT/1B/06,4.0,ST0509,JPRG,7,87
,,,,ST0503,FOP,6,80
,,,,
Ridlsp,p2340249,DIT/FT/1B/10,3.0,ST0525,DBS,7,76
,,,,ST0525,DBS,4,72
,,,,
Kzppfu,p2340250,DIT/FT/1B/15,3.36,ST0509,JPRG,4,83
,,,,ST0503,FOP,7,76
,,,,
Wkzllu,p2340251,DIT/FT/1B/12,4.0,ST0525,DBS,6,80
,,,,ST0525,DBS,7,86
,,,,
Ctfhpf,p2340252,DIT/FT/1B/10,3.36,ST0503,FOP,4,90
,,,,ST0525,DBS,7,72
,,,,
Zwojgd,p2340253,DIT/FT/1B/07,4.0,ST0503,FOP,5,83
,,,,ST0503,FOP,5,80
,,,,
Hhawge,p2340254,DIT/FT/1B/11,3.45,ST0509,JPRG,5,82
,,,,ST0525,DBS,6,72
,,,,
Biaftm,p2340255,DIT/FT/1B/02,3.11,ST0506,SEP,4,69
,,,,ST0525,DBS,5,81
,,,,
Zdstbv,p2340256,DIT/FT/1B/09,2.46,ST0506,SEP,7,66
,,,,ST0509,JPRG,6,78
,,,,
Coqspb,p2340257,DIT/FT/1B/07,3.0,ST0525,DBS,5,70
,,,,ST0506,SEP,6,78
,,,,
Ftfmkn,p2340258,DIT/FT/1B/13,2.5,ST0506,SEP,4,61
,,,,ST0509,JPRG,4,78
,,,,
Yxcaer,p2340259,DIT/FT/1B/03,2.0,ST0525,DBS,6,65
,,,,ST0509,JPRG,7,60
,,,,
Vywfse,p2340260,DIT/FT/1B/14,2.36,ST0503,FOP,7,64
,,,,ST0525,DBS,4,74
,,,,
Kulmkr,p2340261,DIT/FT/1B/07,2.0,ST0509,JPRG,7,61
,,,,ST0503,FOP,6,69
,,,,
Pplbhi,p2340262,DIT/FT/1B/02,4.0,ST0525,DBS,7,80
,,,,ST0525,DBS,5,88
,,,,
Rimzoh,p2340263,DIT/FT/1B/08,3.08,ST0503,FOP,6,68
,,,,ST0525,DBS,7,82
,,,,
Pacohn,p2340264,DIT/FT/1B/13,4.0,ST0503,FOP,6,82
,,,,ST0506,SEP,6,82
,,,,
Shmquw,p2340265,DIT/FT/1B/07,2.46,ST0503,FOP,6,71
,,,,ST0509,JPRG,7,61
,,,,
Swmdya,p2340266,DIT/FT/1B/06,2.91,ST0525,DBS,6,60
,,,,ST0525,DBS,5,90
,,,,
Gqlmrr,p2340267,DIT/FT/1B/12,3.0,ST0503,FOP,7,71
,,,,ST0506,SEP,4,78
,,,,
Bzarkz,p2340268,DIT/FT/1B/04,4.0,ST0509,JPRG,5,88
,,,,ST0509,JPRG,5,83
,,,,
Awpcep,p2340269,DIT/FT/1B/15,3.45,ST0525,DBS,5,83
,,,,ST0525,DBS,6,73
,,,,
Fpufjw,p2340270,DIT/FT/1B/03,2.0,ST0525,DBS,5,61
,,,,ST0509,JPRG,6,67
,,,,
Dsxvpx,p2340271,DIT/FT/1B/04,2.0,ST0503,FOP,6,68
,,,,ST0503,FOP,4,60
,,,,
Majafc,p2340272,DIT/FT/1B/09,2.0,ST0525,DBS,6,69
,,,,ST0506,SEP,4,69
,,,,
Yzjsxe,p2340273,DIT/FT/1B/12,3.0,ST0509,JPRG,7,71
,,,,ST0525,DBS,6,73
,,,,
Ksqelq,p2340274,DIT/FT/1B/01,2.0,ST0509,JPRG,7,62
,,,,ST0503,FOP,7,66
,,,,
Mhxawj,p2340275,DIT/FT/1B/14,2.0,ST0525,DBS,7,69
,,,,ST0509,JPRG,6,62
,,,,
Kbokor,p2340276,DIT/FT/1B/09,3.4,ST0503,FOP,4,88
,,,,ST0503,FOP,6,77
,,,,
Burqax,p2340277,DIT/FT/1B/14,2.45,ST0525,DBS,5,75
,,,,ST0509,JPRG,6,63
,,,,
Ehllra,p2340278,DIT/FT/1B/07,2.5,ST0506,SEP,4,62
,,,,ST0525,DBS,4,70
,,,,
Hfhpjx,p2340279,DIT/FT/1B/01,3.0,ST0509,JPRG,7,66
,,,,ST0506,SEP,7,86
,,,,
Zjfnek,p2340280,DIT/FT/1B/06,3.5,ST0525,DBS,6,78
,,,,ST0506,SEP,6,90
,,,,
Uzqmoy,p2340281,DIT/FT/1B/06,3.44,ST0506,SEP,4,81
,,,,ST0503,FOP,5,76
,,,,
Ccrwou,p2340282,DIT/FT/1B/12,3.36,ST0503,FOP,4,82
,,,,ST0506,SEP,7,79
,,,,
Ykxvnh,p2340283,DIT/FT/1B/10,3.2,ST0525,DBS,6,87
,,,,ST0503,FOP,4,69
,,,,
Wejpjo,p2340284,DIT/FT/1B/15,2.44,ST0525,DBS,5,67
,,,,ST0503,FOP,4,78
,,,,
Mfzila,p2340285,DIT/FT/1B/02,3.08,ST0525,DBS,6,64
,,,,ST0506,SEP,7,88
,,,,
Hqdsoc,p2340286,DIT/FT/1B/01,4.0,ST0503,FOP,6,87
,,,,ST0525,DBS,7,80
,,,,
Mahnoj,p2340287,DIT/FT/1B/06,3.11,ST0525,DBS,4,68
,,,,ST0503,FOP,5,84
,,,,
Wtlyye,p2340288,DIT/FT/1B/05,4.0,ST0506,SEP,4,82
,,,,ST0509,JPRG,5,80
,,,,
Ivodvh,p2340289,DIT/FT/1B/09,3.0,ST0509,JPRG,4,78
,,,,ST0525,DBS,6,76
,,,,
Jxikpt,p2340290,DIT/FT/1B/15,3.11,ST0506,SEP,5,87
,,,,ST0509,JPRG,4,65
,,,,
Auxdbm,p2340291,DIT/FT/1B/10,3.0,ST0509,JPRG,5,70
,,,,ST0525,DBS,4,72
,,,,
Jtjyym,p2340292,DIT/FT/1B/15,3.0,ST0506,SEP,4,72
,,,,ST0503,FOP,6,79
,,,,
Ritgrf,p2340293,DIT/FT/1B/05,3.09,ST0525,DBS,5,66
,,,,ST0525,DBS,6,87
,,,,
Pstrgx,p2340294,DIT/FT/1B/10,2.0,ST0525,DBS,4,60
,,,,ST0503,FOP,7,68
,,,,
Kxubmc,p2340295,DIT/FT/1B/12,3.0,ST0506,SEP,7,70
,,,,ST0525,DBS,5,73
,,,,
Ighigb,p2340296,DIT/FT/1B/02,3.0,ST0509,JPRG,4,60
,,,,ST0503,FOP,4,90
,,,,
Rxofwm,p2340297,DIT/FT/1B/07,3.0,ST0506,SEP,4,78
,,,,ST0506,SEP,4,79
,,,,
Bfahfz,p2340298,DIT/FT/1B/15,2.92,ST0506,SEP,6,83
,,,,ST0525,DBS,7,68
,,,,
Mpkasu,p2340299,DIT/FT/1B/12,3.0,ST0503,FOP,4,76
,,,,ST0525,DBS,5,77
,,,,
